youtube_id,status
cZP3u5XAeHk,0
bQbH32KcjG0,1
LDVGyAUHFlE,1
Cx7ip9cWKJg,1
1nqF0ddDc8I,0
bwqshieCvmg,1
eMURCJgRJYM,1
2CFBewOReY8,0
lgyaCwRCrDg,1
EC20KdIDiEY,0
TaOTPhkNkbw,1
pMoxr-jgd58,1
xP7cQnOcU7I,1
yeeDplCqa4g,1
klsfhLJhkeU,1
4IpJTG-R4K8,1
ceTBcVLeUtI,1
kFa1DI_4vEs,1
NWfz4zLi640,0
PiyaX2sq_wk,1
uantpWWcsZc,1
TklrBmHo7Do,1
6KgxpUSWsoA,0
ntC0xJo2bSU,1
4M1mi7Ommbg,1
_XbL7lG0Su8,1
AM5EYO5wWMA,1
IEfj3lH-scU,0
0klA5lTNwyY,1
Ku9rtTERy1A,0
SeBHPzqiUlg,1
e0WpcoS_fU8,0
jN_ftt-J7S8,1
z-5iCygFd9M,1
aJoVRUNmqIY,1
cqlk4EfEDJQ,0
VcbjbQ-K-CA,1
6cwIlJvjP6k,0
Fk0ygj8xA2k,1
BQpfa9RZbTk,0
4WfCOqrgbSk,1
sU5PVNZ1GSo,1
c8qfaEdYBJ0,0
Q_bHEwqrufc,1
odPx-COnC4I,1
U72Ap0dAveE,0
eW4wR7-iOMg,0
zTQFXazjStI,1
MRlOr9PyiWM,1
Pu54Ka5I6lc,0
CR08UnlmGKc,1
RZ-__QD99DA,1
KaUEDYWofJQ,1
FXZ3JnwIph0,0
sTI1U2BiTNk,0
Nt9wqkbXyyU,1
0iAHJLQDEyQ,1
n13FhFrtu_8,1
lnlOiXeIi7k,1
SL46k7bAtiA,1
0I1Vh-Ru1z0,1
CMbI7DmLCNI,1
qKYRwuoqETc,1
XEBr-jUNgS0,0
i-f0M5TqmsY,1
aVv3r2pUtFo,0
IqX6z6djbD4,1
OWBd1N-Fujc,1
M0AI2bz3IEQ,1
3wtgdxKJI_A,0
3J2Hm85PD2E,1
-v8C1H99O_s,0
F386jqGfMVQ,1
IthAv1JkF-0,1
ji4pvRXDMOY,1
eUwEHGDkZIo,1
xvi62S5Ou_E,1
1_-RGLVHmOA,0
cv36jml_lAE,0
GF17iwV8n1k,1
_3wnaxan4qw,0
a2gMY3TRx8s,1
O6KVfajjyGs,0
tesqTwX7cpc,1
DA2JIQh96iI,1
8jkM1zBTJIA,1
jSbmgZG-0Ng,0
QusNwW8bAoo,1
NocIDIeLTqA,0
_c_ufaxeSTs,1
YTadpFs7QAI,1
J1rrdlXZ-pQ,1
OkrJTqGkSWI,0
JU189rHBIIQ,1
Z7KYTavLTBo,0
SJhnQPZtv0M,0
oIX2FRqV3h0,0
9qRTyY2oObs,0
H6DqWP733F4,1
kMkxtj-mu14,1
G8c6j-LS-ZI,1
0foXV1hWrx4,1
6dz2gdXP6Zs,1
8MnF5ok8llg,1
RUX-bx6rwdI,0
mcc7HSbreD8,1
YnKV34oNXiw,1
f4zl3CuJvt8,1
ArlsU2_cUbg,1
Q0EyOxePWgE,1
r3OBn1Jmnvw,1
USzcEbF4GF0,1
AHHH770W4Wk,1
W3c9wtbQTZ4,1
8Wou-QRe4F4,1
f-77xulkB_U,1
j_Mg-jMnweQ,1
d-FI10IypKA,1
tmZiGfLVs8w,1
PrpeARyTcx8,1
uPAXLQIxBGY,1
AvpTESNCcFc,1
S1EsCWrUY84,1
Yrx2bv_LoG0,1
uD4GclR6ZEo,1
nH40NtYdL-U,1
mEPcdSaEXEo,0
A1O8mRWajHw,1
AFn7Ke7tA7s,1
hw8D5KSx5p4,0
nSJxx_KUEes,1
pyyquXhcSk8,0
o3sj7nGzC64,1
HGU3PRBxQiw,1
XqWlDXiUkS4,1
7HHCL1eRdVo,1
wgHRj2-vvs8,1
